wafer,chamber,C6,t,seg,in_val,ae_raw,ae_score,ewma,ae_drift_score,z,anom_z,anom_band,drift_pts,score_ae_z,score_ae_band,score_ae_sum
C64_493,C24_0,C6_0,1543610410.5,seg1,False,23.513675418943617,0.0,0.04016901014313631,0.0,-0.5961532885800784,0,0,0,0,0,0
C64_489,C24_0,C6_0,1543610524.5,seg1,False,19.875027887342146,0.0,0.038160559635979495,0.0,-0.6873177161125346,0,0,0,0,0,0
C64_488,C24_0,C6_0,1543610638.5,seg1,False,23.468439141748256,0.0,0.03625253165418052,0.0,-0.5972866600535169,0,0,0,0,0,0
C64_487,C24_0,C6_0,1543610752.6,seg1,False,24.64887046703012,0.0,0.034439905071471495,0.0,-0.567711565165627,0,0,0,0,0,0
C64_494,C24_0,C6_0,1543610863.7,seg1,False,12.2998639792776,0.0,0.03271790981789792,0.0,-0.8771095206623096,0,0,0,0,0,0
C64_495,C24_0,C6_0,1543610977.7,seg1,False,18.654989658774745,0.0,0.031082014327003023,0.0,-0.7178851414289696,0,0,0,0,0,0
C64_496,C24_0,C6_0,1543611091.7,seg1,False,44.14013526697092,0.0570176408434063,0.032378795652823186,0.0,-0.07936803039405525,0,0,0,0,0,0
C64_486,C24_0,C6_0,1543611205.8,seg1,False,43.58219850810807,0.0564765641037811,0.03358368407537108,0.0,-0.09334684663808404,0,0,0,0,0,0
C64_485,C24_0,C6_0,1543611304.9,seg1,False,34.85135949334404,0.0,0.03190449987160252,0.0,-0.3120934918534506,0,0,0,0,0,0
C64_459,C24_0,C6_0,1543611728.2,seg1,False,32.84707502371298,0.0,0.030309274878022395,0.0,-0.362309800165591,0,0,0,0,0,0
C64_464,C24_0,C6_0,1543611833.2,seg1,False,31.128523958272964,0.0,0.028793811134121276,0.0,-0.40536720616753386,0,0,0,0,0,0
C64_465,C24_0,C6_0,1543611944.8,seg1,False,37.25368258962391,0.050339286526267,0.029871084903728563,0.0,-0.25190453210445274,0,0,0,0,0,0
C64_466,C24_0,C6_0,1543612055.1,seg1,False,25.791239939689845,0.0,0.028377530658542136,0.0,-0.5390900902629066,0,0,0,0,0,0
C64_463,C24_0,C6_0,1543612166.1,seg1,False,28.64679518219493,0.0,0.026958654125615027,0.0,-0.46754563405785504,0,0,0,0,0,0
C64_467,C24_0,C6_0,1543612280.1,seg1,False,48.76925839534611,0.0615068787540433,0.02868606535703644,0.0,0.03661224972662936,0,0,0,0,0,0
C64_462,C24_0,C6_0,1543612391.1,seg1,False,63.86232021750688,0.0761438506903275,0.031058954623700993,0.0,0.41476108903552,0,0,0,0,0,0
C64_468,C24_0,C6_0,1543612502.2,seg1,False,35.311033802542944,0.0,0.02950600689251594,0.0,-0.30057659034388035,0,0,0,0,0,0
C64_461,C24_0,C6_0,1543612613.2,seg1,False,47.03641114307304,0.0598263955691041,0.031022026326345348,0.0,-0.0068033398248914636,0,0,0,0,0,0
C64_469,C24_0,C6_0,1543612724.2,seg1,False,57.75869895021064,0.070224671782046,0.032982158599130375,0.0,0.26183802246328625,0,0,0,0,0,0
C64_470,C24_0,C6_0,1543612835.2,seg1,False,58.09393501933261,0.0705497775156331,0.034860539544955514,0.0,0.27023718837982785,0,0,0,0,0,0
C64_460,C24_0,C6_0,1543612946.3,seg1,False,91.79706931997109,0.1036656576431855,0.03830079544986701,0.0,1.114651745679608,0,0,0,0,0,0
C64_440,C24_0,C6_0,1543613102.3,seg1,False,22.40074592706891,0.0,0.036385755677373656,0.0,-0.6240371600267006,0,0,0,0,0,0
C64_441,C24_0,C6_0,1543613222.4,seg1,False,40.91097554961241,0.0538860615311585,0.037260770970062904,0.0,-0.1602729530300463,0,0,0,0,0,0
C64_434,C24_0,C6_0,1543613336.4,seg1,False,196.67004427372447,0.2684924154666535,0.04882235319489243,0.0,3.74218976420173,25,10,0,25,10,25
C64_442,C24_0,C6_0,1543613450.4,seg1,False,74.86218654869376,0.0868113174170629,0.050721801406000945,0.0,0.6903570373396504,0,0,0,0,0,0
C64_435,C24_0,C6_0,1543613564.5,seg1,False,27.626640896955404,0.0,0.0481857113357009,0.0,-0.49310507079937166,0,0,0,0,0,0
C64_436,C24_0,C6_0,1543613678.5,seg1,False,20.035571871150367,0.0,0.04577642576891585,0.0,-0.6832953698284979,0,0,0,0,0,0
C64_443,C24_0,C6_0,1543613789.5,seg1,False,22.97187686885654,0.0,0.04348760448047006,0.0,-0.6097277703697075,0,0,0,0,0,0
C64_444,C24_0,C6_0,1543613903.7,seg1,False,23.308906324438677,0.0,0.041313224256446554,0.0,-0.6012836720851458,0,0,0,0,0,0
C64_437,C24_0,C6_0,1543614017.7,seg1,False,48.82963382436139,0.061565429727368,0.04232583452999262,0.0,0.03812492480037634,0,0,0,0,0,0
C64_445,C24_0,C6_0,1543614131.7,seg1,False,36.66299129637137,0.0,0.04020954280349299,0.0,-0.26670399622679175,0,0,0,0,0,0
C64_438,C24_0,C6_0,1543614245.8,seg1,False,70.92286925432927,0.0829910404338287,0.04234861768500977,0.0,0.5916594847763822,0,0,0,0,0,0
C64_446,C24_0,C6_0,1543614359.9,seg1,False,55.41662815298076,0.0679533748818034,0.04362885554484945,0.0,0.20315865283058873,0,0,0,0,0,0
C64_439,C24_0,C6_0,1543614501.1,seg1,False,37.89602279933494,0.0509622161699582,0.04399552357610488,0.0,-0.2358110311564202,0,0,0,0,0,0
C64_416,C24_0,C6_0,1543614630.7,seg1,False,70.20605210759368,0.0822958844354075,0.04591054161907001,0.0,0.5737000027820277,0,0,0,0,0,0
C64_415,C24_0,C6_0,1543614753.1,seg1,False,57.21314843450278,0.0696956069917252,0.04709979488770277,0.0,0.2481695371201472,0,0,0,0,0,0
C64_409,C24_0,C6_0,1543614864.1,seg1,False,31.442723319093425,0.0,0.044744805143317634,0.0,-0.3974951040714966,0,0,0,0,0,0
C64_414,C24_0,C6_0,1543614975.1,seg1,False,59.11717177842984,0.0715420935813561,0.04608466956521956,0.0,0.29587385490581264,0,0,0,0,0,0
C64_413,C24_0,C6_0,1543615086.2,seg1,False,55.55812321840112,0.0680905941767406,0.047184965795795605,0.0,0.20670373833988429,0,0,0,0,0,0
C64_412,C24_0,C6_0,1543615197.2,seg1,False,21.179081787518957,0.0,0.04482571750600582,0.0,-0.6546453216998881,0,0,0,0,0,0
C64_411,C24_0,C6_0,1543615308.3,seg1,False,50.41274084979261,0.0631006976124666,0.04573946651132886,0.0,0.07778885059769766,0,0,0,0,0,0
C64_417,C24_0,C6_0,1543615419.3,seg1,False,26.909999597627188,0.0,0.043452493185762414,0.0,-0.5110601470280983,0,0,0,0,0,0
C64_410,C24_0,C6_0,1543615530.3,seg1,False,18.387258760655985,0.0,0.04127986852647429,0.0,-0.724593000282505,0,0,0,0,0,0
C64_418,C24_0,C6_0,1543615641.4,seg1,False,26.486938584942877,0.0,0.03921587510015057,0.0,-0.5216597213748038,0,0,0,0,0,0
C64_419,C24_0,C6_0,1543615752.4,seg1,False,24.447672902749886,0.0,0.03725508134514304,0.0,-0.5727524658324908,0,0,0,0,0,0
C64_420,C24_0,C6_0,1543615860.4,seg1,False,34.39159566667044,0.0,0.03539232727788589,0.0,-0.32361263617694125,0,0,0,0,0,0
C64_396,C24_0,C6_0,1543616007.5,seg1,False,14.384598926648716,0.0,0.03362271091399159,0.0,-0.8248775673380631,0,0,0,0,0,0
C64_401,C24_0,C6_0,1543616136.5,seg1,False,43.51921927503308,0.0564154880094836,0.03476234976876619,0.0,-0.09492475867266566,0,0,0,0,0,0
C64_400,C24_0,C6_0,1543616250.6,seg1,False,34.03436100076494,0.0,0.03302423228032788,0.0,-0.3325629655312356,0,0,0,0,0,0
C64_402,C24_0,C6_0,1543616364.7,seg1,False,34.17838236601755,0.0,0.03137302066631149,0.0,-0.32895458488934404,0,0,0,0,0,0
C64_403,C24_0,C6_0,1543616478.7,seg1,False,10.58755297508181,0.0,0.02980436963299591,0.0,-0.9200105851647923,0,0,0,0,0,0
C64_404,C24_0,C6_0,1543616589.8,seg1,False,10.69353870073432,0.0,0.028314151151346112,0.0,-0.9173551677543924,0,0,0,0,0,0
C64_405,C24_0,C6_0,1543616703.8,seg1,False,58.12088820918994,0.0705759162201705,0.03042723940478733,0.0,0.2709124865784516,0,0,0,0,0,0
C64_406,C24_0,C6_0,1543616817.9,seg1,False,54.23089289650255,0.0668034707816657,0.03224605097363125,0.0,0.17345067069627365,0,0,0,0,0,0
C64_407,C24_0,C6_0,1543616931.9,seg1,False,25.200230440390143,0.0,0.030633748424949685,0.0,-0.5538975268727908,0,0,0,0,0,0
C64_399,C24_0,C6_0,1543617046.6,seg1,False,20.170986993079087,0.0,0.0291020610037022,0.0,-0.6799026141513806,0,0,0,0,0,0
C64_408,C24_0,C6_0,1543617160.7,seg1,False,23.244775363436897,0.0,0.027646957953517088,0.0,-0.6028904400658467,0,0,0,0,0,0
C64_398,C24_0,C6_0,1543617274.1,seg1,False,37.969579467489055,0.0510335500649746,0.02881628755908996,0.0,-0.23396810696955533,0,0,0,0,0,0
C64_397,C24_0,C6_0,1543617370.2,seg1,False,85.70630666662947,0.0973277443495272,0.03224186039861182,0.0,0.9620508450137591,0,0,0,0,0,0
C64_378,C24_0,C6_0,1543619338.9,seg1,False,23.817492164019217,0.0,0.030629767378681227,0.0,-0.5885413175389039,0,0,0,0,0,0
C64_371,C24_0,C6_0,1543619465.1,seg1,False,45.24473310315384,0.058088859375444,0.03200272197851937,0.0,-0.05169290426143843,0,0,0,0,0,0
C64_379,C24_0,C6_0,1543619579.4,seg1,False,31.5741152780596,0.0,0.030402585879593397,0.0,-0.394203146656691,0,0,0,0,0,0
C64_380,C24_0,C6_0,1543619693.6,seg1,False,38.001572574618535,0.0510645763879783,0.03143568540501264,0.0,-0.2331665362565053,0,0,0,0,0,0
C64_377,C24_0,C6_0,1543619807.1,seg1,False,31.36741818488476,0.0,0.029863901134762005,0.0,-0.3993818351689069,0,0,0,0,0,0
C64_376,C24_0,C6_0,1543619921.1,seg1,False,18.44441899768641,0.0,0.028370706078023902,0.0,-0.7231608801770973,0,0,0,0,0,0
C64_381,C24_0,C6_0,1543620032.2,seg1,False,19.76156731942628,0.0,0.026952170774122704,0.0,-0.6901604118206854,0,0,0,0,0,0
C64_382,C24_0,C6_0,1543620146.2,seg1,False,16.798044701435998,0.0,0.02560456223541657,0.0,-0.7644099346453547,0,0,0,0,0,0
C64_372,C24_0,C6_0,1543620260.2,seg1,False,26.293819130825597,0.0,0.02432433412364574,0.0,-0.5264982291794423,0,0,0,0,0,0
C64_383,C24_0,C6_0,1543620374.3,seg1,False,22.28728826791752,0.0,0.02310811741746345,0.0,-0.6268797828572655,0,0,0,0,0,0
C64_375,C24_0,C6_0,1543620488.4,seg1,False,92.2485372609274,0.1041618520144742,0.027160804147313988,0.0,1.1259630408872603,0,0,0,0,0,0
C64_374,C24_0,C6_0,1543620602.4,seg1,False,53.312104546663626,0.0659124468495811,0.029098386282427342,0.0,0.15043090491541763,0,0,0,0,0,0
C64_373,C24_0,C6_0,1543620701.5,seg1,False,21.77053285466097,0.0,0.027643466968305976,0.0,-0.6398268218366352,0,0,0,0,0,0
C64_355,C24_0,C6_0,1543630650.2,seg1,False,55.4914292044252,0.0680259155566974,0.029662589397725547,0.0,0.20503275439567129,0,0,0,0,0,0
C64_347,C24_0,C6_0,1543630764.3,seg1,False,24.614535875331875,0.0,0.028179459927839268,0.0,-0.5685718005606596,0,0,0,0,0,0
C64_354,C24_0,C6_0,1543630875.3,seg1,False,59.70187634788218,0.0721091292481368,0.030375943393854146,0.0,0.31052332476701483,0,0,0,0,0,0
